,Курс,Регион,Муниципалитет,Школа,user_id,Класс,Всего просмотров уроков,Из них онлайн,Из них в записи,Решал задач,Всего задач,Набрал баллов,Всего баллов
5318,755,Томская область,г Стрежевой,SCHOOL-6549-FDE7-D174,675154,7 класс,8,0,8,0,216,0.0,224
5319,755,Томская область,г Стрежевой,SCHOOL-6549-FDE7-D174,675155,7 класс,0,0,0,0,216,0.0,224
5320,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,675156,7 класс,16,0,16,20,216,17.72,224
5321,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,675157,7 класс,164,0,164,216,216,176.0,224
5322,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,675160,7 класс,236,0,236,192,216,157.72,224
5323,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,675161,7 класс,236,0,236,216,216,92.4,224
5324,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675162,7 класс,36,0,36,0,216,0.0,224
5325,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675163,7 класс,0,0,0,0,216,0.0,224
5326,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675164,7 класс,0,0,0,0,216,0.0,224
5327,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675165,7 класс,0,0,0,0,216,0.0,224
5328,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675166,7 класс,0,0,0,0,216,0.0,224
5329,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675167,7 класс,4,0,4,0,216,0.0,224
5330,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675168,7 класс,0,0,0,0,216,0.0,224
5331,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675169,7 класс,0,0,0,0,216,0.0,224
5332,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675170,7 класс,0,0,0,0,216,0.0,224
5333,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675171,7 класс,4,0,4,20,216,15.32,224
5334,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675172,7 класс,36,0,36,216,216,166.4,224
5335,755,Томская область,Томский р-н,SCHOOL-CE4D-9F67-C30A,675173,7 класс,0,0,0,0,216,0.0,224
5336,755,Томская область,г Томск,SCHOOL-BE12-9312-BD7E,675174,7 класс,0,0,0,0,216,0.0,224
5337,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,675176,7 класс,176,0,176,216,216,193.32,224
5338,755,Томская область,г Стрежевой,SCHOOL-5304-019E-65C9,675177,7 класс,0,0,0,0,216,0.0,224
5339,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,675178,7 класс,172,0,172,216,216,157.88,224
5340,755,Томская область,Колпашевский р-н,SCHOOL-CBB2-A400-BC82,675179,7 класс,32,0,32,0,216,0.0,224
5341,755,Томская область,г Стрежевой,SCHOOL-5304-019E-65C9,675180,7 класс,0,0,0,0,216,0.0,224
5342,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,675181,7 класс,0,0,0,0,216,0.0,224
5343,755,Томская область,г Стрежевой,SCHOOL-6549-FDE7-D174,675182,7 класс,0,0,0,0,216,0.0,224
5344,755,Томская область,г Стрежевой,SCHOOL-5304-019E-65C9,675183,7 класс,0,0,0,0,216,0.0,224
5345,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,675184,7 класс,176,0,176,20,216,13.04,224
5346,755,Томская область,г Стрежевой,SCHOOL-5304-019E-65C9,675185,7 класс,0,0,0,0,216,0.0,224
5347,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,675186,7 класс,208,0,208,216,216,188.0,224
5348,755,Томская область,г Стрежевой,SCHOOL-5304-019E-65C9,675187,7 класс,0,0,0,0,216,0.0,224
5349,755,Томская область,г Стрежевой,SCHOOL-5304-019E-65C9,675188,7 класс,0,0,0,0,216,0.0,224
5350,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,675189,7 класс,252,0,252,216,216,184.12,224
5351,755,Томская область,г Томск,SCHOOL-50E2-25E0-FFCF,675190,7 класс,0,0,0,0,216,0.0,224
5352,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,675191,7 класс,112,0,112,196,216,180.0,224
5353,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675192,7 класс,28,0,28,52,216,47.32,224
5354,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675193,7 класс,92,0,92,180,216,160.0,224
5355,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675194,7 класс,0,0,0,0,216,0.0,224
5356,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675195,7 класс,12,0,12,20,216,20.0,224
5357,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675196,7 класс,0,0,0,0,216,0.0,224
5358,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675197,7 класс,0,0,0,0,216,0.0,224
5359,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675198,7 класс,16,0,16,48,216,33.32,224
5360,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675199,7 класс,192,0,192,156,216,128.0,224
5361,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,675200,7 класс,116,0,116,216,216,129.32,224
5362,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675201,7 класс,4,0,4,0,216,0.0,224
5363,755,Томская область,г Стрежевой,SCHOOL-6549-FDE7-D174,675203,7 класс,0,0,0,0,216,0.0,224
5364,755,Томская область,г Томск,SCHOOL-9510-EF07-035B,675204,7 класс,0,0,0,0,216,0.0,224
5365,755,Томская область,г Томск,SCHOOL-7FD2-0F06-14A8,675205,7 класс,16,0,16,0,216,0.0,224
5366,755,Томская область,г Томск,SCHOOL-30A4-C17E-D716,675206,7 класс,0,0,0,0,216,0.0,224
5367,755,Томская область,г Томск,SCHOOL-9E47-7324-512B,675207,7 класс,24,0,24,20,216,17.72,224
5368,755,Томская область,г Стрежевой,SCHOOL-5304-019E-65C9,675208,7 класс,0,0,0,0,216,0.0,224
5369,755,Томская область,Томский р-н,SCHOOL-976B-5C2C-3C5C,675209,7 класс,164,0,164,216,216,141.88,224
5370,755,Томская область,Кожевниковский р-н,SCHOOL-B842-C987-2C6F,675210,7 класс,16,0,16,0,216,0.0,224
5371,755,Томская область,г Колпашево,SCHOOL-C330-5FA7-5268,675212,7 класс,184,4,180,216,216,91.6,224
5372,755,Томская область,г Колпашево,SCHOOL-C330-5FA7-5268,675213,7 класс,236,0,236,216,216,178.4,224
5373,755,Томская область,г Колпашево,SCHOOL-C330-5FA7-5268,675214,7 класс,164,4,160,204,216,158.4,224
5374,755,Томская область,г Колпашево,SCHOOL-C330-5FA7-5268,675215,7 класс,224,0,224,216,216,111.04,224
5375,755,Томская область,г Колпашево,SCHOOL-C330-5FA7-5268,675216,7 класс,232,0,232,196,216,172.0,224
5376,755,Томская область,г Томск,SCHOOL-B736-DD59-3467,675217,7 класс,0,0,0,0,216,0.0,224
5377,755,Томская область,г Томск,SCHOOL-7FD2-0F06-14A8,675218,7 класс,0,0,0,0,216,0.0,224
5378,755,Томская область,г Томск,SCHOOL-D3E3-9E59-0923,675221,7 класс,0,0,0,0,216,0.0,224
5379,755,Томская область,Томский р-н,SCHOOL-CE4D-9F67-C30A,675222,7 класс,144,0,144,216,216,190.4,224
5380,755,Томская область,г Колпашево,SCHOOL-C330-5FA7-5268,675224,7 класс,152,0,152,216,216,100.0,224
5381,755,Томская область,г Колпашево,SCHOOL-C330-5FA7-5268,675226,7 класс,232,0,232,216,216,72.36,224
5382,755,Томская область,г Колпашево,SCHOOL-C330-5FA7-5268,675227,7 класс,232,0,232,216,216,110.12,224
5383,755,Томская область,г Томск,SCHOOL-DCFD-D295-03F0,675228,7 класс,0,0,0,0,216,0.0,224
5384,755,Томская область,г Томск,SCHOOL-9E47-7324-512B,675230,7 класс,0,0,0,0,216,0.0,224
5385,755,Томская область,г Томск,SCHOOL-EC24-C3EA-3455,675231,7 класс,0,0,0,0,216,0.0,224
5386,755,Томская область,г Колпашево,SCHOOL-C330-5FA7-5268,675233,7 класс,228,0,228,52,216,12.0,224
5387,755,Томская область,г Колпашево,SCHOOL-C330-5FA7-5268,675234,7 класс,164,0,164,60,216,44.0,224
5388,755,Томская область,г Колпашево,SCHOOL-C330-5FA7-5268,675235,7 класс,232,0,232,176,216,136.0,224
5389,755,Томская область,г Томск,SCHOOL-30A4-C17E-D716,675237,7 класс,0,0,0,0,216,0.0,224
5390,755,Томская область,г Колпашево,SCHOOL-C330-5FA7-5268,675238,7 класс,172,0,172,216,216,17.32,224
5391,755,Томская область,г Стрежевой,SCHOOL-5304-019E-65C9,675239,7 класс,0,0,0,0,216,0.0,224
5392,755,Томская область,г Колпашево,SCHOOL-C330-5FA7-5268,675240,7 класс,224,0,224,216,216,171.44,224
5393,755,Томская область,г Стрежевой,SCHOOL-5304-019E-65C9,675242,7 класс,0,0,0,0,216,0.0,224
5394,755,Томская область,г Томск,SCHOOL-B736-DD59-3467,675243,7 класс,0,0,0,0,216,0.0,224
5395,755,Томская область,г Колпашево,SCHOOL-C330-5FA7-5268,675244,7 класс,204,0,204,216,216,170.52,224
5396,755,Томская область,г Томск,SCHOOL-9E47-7324-512B,675245,7 класс,16,0,16,0,216,0.0,224
5397,755,Томская область,г Стрежевой,SCHOOL-5304-019E-65C9,675246,7 класс,0,0,0,0,216,0.0,224
5398,755,Томская область,г Томск,SCHOOL-9E47-7324-512B,675248,7 класс,0,0,0,0,216,0.0,224
